Time (ms),Latency (ms)
1147,923
1150,1023
1163,1034
1165,1041
1167,1044
1168,933
1169,1042
1184,1025
1185,959
1186,1058
1188,1062
1189,957
1191,954
1192,1064
1193,1067
1194,984
1195,1067
1196,1069
1197,1070
1198,973
1199,974
1200,964
1202,1074
1204,1081
1205,53
1206,54
1207,972
1208,1008
1209,1026
1210,1004
1213,1001
1214,1001
1215,1085
1216,1086
1220,56
1228,1006
1229,1017
1230,1017
1231,42
1232,67
1234,50
1236,48
1241,50
1242,49
1243,1009
1244,55
1245,54
1246,55
1247,59
1248,1020
1250,60
1252,51
1253,68
1254,1017
1255,56
1256,57
1257,58
1258,60
1259,55
1260,56
1261,52
1262,66
1263,58
1264,36
1265,67
1266,46
1267,58
1268,59
1269,37
1271,1142
1272,77
1273,65
1274,80
1275,44
1276,44
1277,43
1278,49
1381,115
1384,123
1387,110
1388,111
1389,113
1390,125
1393,126
1394,119
1395,122
1396,122
1397,121
1399,126
1400,139
1401,130
1403,141
1404,127
1405,148
1406,130
1407,142
1408,135
1409,146
1410,151
1411,159
1412,159
1413,165
1414,168
1415,160
1416,166
1417,202
1418,176
1419,206
1420,171
1421,211
1422,175
1425,175
1426,221
1427,191
1428,215
1429,36
1430,40
1431,32
1432,45
1433,155
1434,39
1435,48
1436,47
1438,50
1439,207
1440,225
1441,35
1442,38
1443,33
1445,48
1446,230
1452,48
1453,40
1454,44
1455,45
1456,43
1457,42
1459,51
1460,39
1461,40
1462,36
1463,43
1464,36
1465,47
1468,52
1472,41
1473,48
1474,47
1475,49
1477,50
1478,48
1479,67
1481,40
1482,49
1485,51
1487,46
1488,46
1489,34
1490,56
1492,51
1493,39
1494,38
1495,60
1497,59
1499,43
1500,47
1501,44
1502,38
1504,44
1505,60
1506,47
1507,54
1509,50
1510,36
1511,105
1512,39
1513,68
1516,41
1517,42
1518,46
1519,40
1520,43
1521,49
1522,90
1524,32
1525,33
1526,37
1527,45
1528,41
1529,44
1531,48
1550,48
1551,50
1554,49
1555,54
1558,59
1560,53
1561,62
1562,63
1563,59
1564,69
1565,54
1566,55
1567,73
1568,56
1569,74
1570,75
1571,61
1572,60
1573,54
1574,75
1575,54
1576,60
1577,46
1578,53
1579,53
1580,51
1581,76
1582,56
1584,81
1585,59
1586,31
1587,33
1588,83
1589,87
1590,32
1591,31
1592,31
1593,31
1594,76
1595,74
1597,106
1599,95
1601,156
1605,159
1641,260
1671,107
1672,275
1675,113
1676,111
1677,278
1678,115
1679,115
1680,113
1681,104
1682,115
1683,114
1684,103
1686,104
1687,121
1689,109
1694,126
1695,121
1696,129
1697,113
1698,114
1699,122
1701,119
1702,116
1703,121
1704,129
1706,117
1707,112
1708,114
1709,120
1710,118
1711,116
1712,125
1713,119
1714,122
1715,149
1716,131
1717,123
1718,140
1719,128
1720,126
1721,134
1722,41
1723,43
1724,52
1725,41
1726,40
1727,49
1728,141
1729,138
1730,129
1731,45
1734,51
1737,54
1738,177
1739,58
1740,153
1742,346
1743,172
1746,155
1750,56
1752,54
1754,56
1755,54
1756,57
1757,70
1758,59
1760,78
1766,45
1767,41
1768,45
1769,38
1770,52
1771,50
1772,54
1773,54
1774,58
1775,69
1776,61
1777,64
1778,66
1779,37
1780,70
1781,66
1782,76
1783,89
1784,78
1785,77
1786,99
1787,82
1791,83
1793,51
1795,40
1796,99
1799,45
1800,52
1801,49
1802,52
1803,46
1804,108
1806,76
1808,71
1809,75
1811,89
1812,37
1814,46
1818,51
1819,47
1823,52
1826,57
1830,52
1831,102
1832,54
1833,62
1834,60
1835,57
1836,67
1837,61
1838,58
1840,113
1843,62
1844,59
1845,106
1846,60
1847,64
1848,63
1849,83
1850,75
1851,68
1852,74
1853,49
1857,55
1858,62
1859,46
1860,57
1862,60
1863,62
1864,46
1865,59
1866,43
1867,56
1868,149
1870,51
1871,52
1872,60
1873,43
1874,48
1875,43
1876,62
1877,96
1878,46
1879,72
1880,152
1881,48
1882,38
1883,48
1884,162
1885,49
1886,68
1889,41
1908,59
1910,63
1911,59
1912,60
1913,79
1915,66
1917,70
1920,73
1959,75
1960,76
1961,77
1962,153
1963,197
1964,126
1967,88
1968,160
1998,78
1999,82
2000,163
2001,93
2002,164
2003,152
2004,164
2005,154
2006,98
2008,100
2010,98
2028,67
2029,67
2030,68
2031,142
2035,157
2036,155
2037,170
2038,77
2039,156
2051,178
2053,177
2054,168
2056,55
2059,198
2060,184
2061,58
2062,57
2063,197
2064,200
2065,60
2066,202
2067,64
2068,66
2069,202
2070,40
2072,72
2073,65
2074,43
2075,47
2076,41
2078,43
2081,44
2082,46
2083,32
2084,46
2085,34
2086,34
2087,34
2095,36
2097,38
2098,33
2100,41
2101,38
2102,49
2103,47
2104,44
2105,42
2106,44
2107,40
2108,40
2109,42
2110,56
2112,49
2116,33
2118,48
2120,39
2121,37
2122,52
2123,42
2124,52
2125,52
2126,53
2127,53
2128,53
4271,2143
4273,2145
4275,2149
4277,2151
4279,2154
4280,2160
4282,2156
4284,2157
4286,2159
4289,2173
4294,2172
4296,2211
4297,2172
4298,2173
4299,2178
4300,2180
4301,2885
4302,2184
4303,2182
4304,2192
4305,2185
4307,2189
4308,31
4310,2203
4311,2199
4312,32
4313,29
4315,2207
4317,2208
4318,29
4319,2212
4321,2215
4322,2216
4324,2220
4325,2202
4326,2239
4327,2220
4329,2225
4330,36
4332,33
4334,36
4335,33
4337,40
4338,2236
4340,36
4341,36
4342,34
4343,2267
4344,34
4345,32
4347,37
4348,37
4350,2253
4351,34
4353,36
4354,35
4355,37
4356,34
4357,32
4358,2257
4359,33
4360,2237
4362,35
4363,36
4364,34
4365,2263
4366,2265
4368,34
4370,36
4371,37
4372,40
4373,2270
4374,2292
4375,35
4378,2283
4379,37
4380,39
4381,39
4382,40
4383,36
4385,40
4386,38
4387,40
4388,38
4389,36
4390,39
4391,2306
4392,2518
4393,2518
4394,2427
4395,2512
4396,2520
4397,2534
4398,38
4399,34
4400,2521
4402,43
4403,43
4404,2442
4405,2535
4406,2528
4407,2528
4408,2445
4409,2445
4411,2544
4413,48
4414,47
4415,88
4417,61
4419,68
4420,45
4422,49
4423,49
4425,62
4426,37
4428,38
4429,38
4430,2302
4432,41
4433,45
4434,48
4435,48
4436,32
4437,40
4438,42
4439,46
4441,48
4442,45
4443,44
4445,43
4447,47
4449,45
4450,45
4452,44
4454,2415
4455,44
4457,46
4458,41
4460,46
4461,47
4462,36
4464,42
4466,43
4468,96
4469,89
4470,87
4471,88
4472,91
4473,38
4475,38
4476,38
4477,40
4478,39
4479,51
4480,38
4481,42
4482,41
4483,53
4484,37
4485,110
4486,37
4487,42
4488,36
4489,37
4490,35
4492,122
4493,112
4494,121
4495,136
4496,126
4497,33
4498,36
4499,41
4500,116
4501,40
4502,117
4503,89
4504,40
4505,39
4506,36
4507,32
4508,33
4509,31
4510,41
4511,30
4513,88
4514,32
4515,35
4516,33
4517,46
4518,75
4520,36
4521,34
4522,36
4523,37
4524,2456
4525,2452
4526,44
4537,52
4538,49
4539,49
4549,51
4550,112
4551,57
4553,61
4556,52
4557,56
4558,51
4559,52
4560,52
4562,60
4563,60
4564,68
4565,61
4566,65
4568,73
4579,80
4580,56
4581,124
4582,69
4583,72
4584,81
4585,76
4586,207
4587,84
4588,73
4589,79
4590,160
4591,75
4592,77
4593,82
4594,78
4595,76
4596,101
4597,71
4598,76
4599,85
4600,89
4601,75
4602,134
4603,65
4604,51
4605,55
4607,58
4608,91
4609,51
4610,52
4613,62
4619,55
4620,57
4621,63
4622,57
4624,43
4629,46
4630,130
4631,38
4632,53
4633,52
4634,97
